"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Bayly R.; Cordes J.; Bernson D.; Ackerson L.K.; LaRochelle M.R.; Hassan G.H.; Bauer C.X.; Stopka T.J.","Bayly, Ric (57912108700); Cordes, Jack (57203059100); Bernson, Dana (56034940400); Ackerson, Leland K. (18533614000); LaRochelle, Marc R. (40361125900); Hassan, Ghada H. (58930188400); Bauer, Cici X. (56992137400); Stopka, Thomas J. (14032343700)","57912108700; 57203059100; 56034940400; 18533614000; 40361125900; 58930188400; 56992137400; 14032343700","Predicting fatal opioid-involved overdoses: A social-ecological framework matched to a linked-data warehouse","2025","International Journal of Drug Policy","137","","104730","","","1","10.1016/j.drugpo.2025.104730","https://www.scopus.com/pages/publications/85217119523?origin=resultslist","Background: An estimated 60 million people used opioids non-medically worldwide in 2021. In 2019, opioid use disorder caused the loss of over 12.5 million healthy years of life due to disability and premature deaths, including those resulting from opioid-involved overdoses. Factors associated with opioid-involved overdoses are numerous, multi-layered, and interrelated. Using the social-ecological model as a foundation, we sought to comprehensively identify risk and preventive factors of fatal opioid-involved overdoses and operationalize them with quantifiable measures. Methods: With our Community Advisory Board, investigators’ expertise, and an examination of the literature, we created an expansive, opioid-overdose specific social-ecological model structured as a matrix, with demographic, behavioral, environmental, and service domains and individual, interpersonal, community, and society/policy levels of influence. Factors contributed by the advisory board included those from two freelisting instruments. We used the resultant freelists to calculate a salience index of factors as a reference for prioritization. We organized the compiled factors in the social-ecological model matrix according to their theorized distal-proximal relationship with fatal opioid-involved overdoses. We operationalized the social-ecological model factors by matching them against measures in the Massachusetts Public Health Data Warehouse, which includes 26 individually-linkable datasets and 19 community-level datasets drawn from 85 data components. Results: We identified 224 factors potentially associated with fatal opioid-involved overdoses and organized them in the social-ecological model. Of these, 53 had matches to measures in the Public Health Data Warehouse. Of those factors identified by freelisting, salience indexing further identified 10 as most related to the risk of fatal opioid-involved overdose, including housing stability, increased risk substances such as fentanyl, xylazine, and polysubstances, and using alone. Conclusion: The opioid-overdose specific social-ecological model points to the need both for analysis that penetrates the complexities of the opioid crisis and for multi-faceted interventions. Further, the social-ecological model can provide a foundation for simulation models for prevention and intervention efforts. Our matrix-structured social-ecological model, salience index, and data matching table provide a holistic and relationship-oriented view of the factors associated with fatal opioid-involved overdose and will inform subsequent data analysis, model development, and opioid-involved overdose policy and prevention efforts. © 2025 Elsevier B.V.","Community engagement; Data warehouse; Freelist; Opioid; Overdose; Predictive modeling; Social-ecological model","Analgesics, Opioid; Drug Overdose; Humans; Opiate Overdose; Opioid-Related Disorders; Risk Factors; Social Environment; fentanyl; opiate; xylazine; narcotic analgesic agent; Article; behavior; community; community engagement; controlled study; data warehouse; demographics; engagement; environmental factor; fatality; female; freelist; housing; human; human relation; individuality; information processing; male; Massachusetts; model; opiate overdose; policy; prediction; predictive model; public health; risk; social ecological model; society; theory; drug overdose; epidemiology; mortality; opioid-related disorder; prevention and control; risk factor; social environment","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85217119523"
"Priou S.; Kempf E.; Jankovic M.; Lamé G.","Priou, Sonia (57222747509); Kempf, Emmanuelle (56725269100); Jankovic, Marija (36908829100); Lamé, Guillaume (57188276500)","57222747509; 56725269100; 36908829100; 57188276500","“Goldmine” or “big mess”? An interview study on the challenges of designing, operating, and ensuring the durability of Clinical Data Warehouses in France and Belgium","2024","Journal of the American Medical Informatics Association","31","11","","2699","2707","3","10.1093/jamia/ocae244","https://www.scopus.com/pages/publications/85206957192?origin=resultslist","Objectives: Clinical Data Warehouses (CDW) are the designated infrastructures to enable access and analysis of large quantities of electronic health record data. Building and managing such systems implies extensive “data work” and coordination between multiple stakeholders. Our study focuses on the challenges these stakeholders face when designing, operating, and ensuring the durability of CDWs for research. Materials and Methods: We conducted semistructured interviews with 21 professionals working with CDWs from France and Belgium. All interviews were recorded, transcribed verbatim, and coded inductively. Results: Prompted by the AI boom, healthcare institutions launched initiatives to repurpose data they were generating for care without a clear vision of how to generate value. Difficulties in operating CDWs arose quickly, strengthened by the multiplicity and diversity of stakeholders involved and grand discourses on the possibilities of CDWs, disjointed from their actual capabilities. Without proper management of the information flows, stakeholders struggled to build a shared vision. This was evident in our interviewees’ contrasting appreciations of what mattered most to ensure data quality. Participants explained they struggled to manage knowledge inside and across institutions, generating knowledge loss, repeated mistakes, and impeding progress locally and nationally. Discussion and conclusion: Management issues strongly affect the deployment and operation of CDWs. This may stem from a simplistic linear vision of how this type of infrastructure operates. CDWs remain promising for research, and their design, implementation, and operation require careful management if they are to be successful. Building on innovation management, complex systems, and organizational learning knowledge will help. © The Author(s) 2024.","Clinical Data Warehouse; electronic health records; interviews; medical informatics; qualitative research; real-world data","Belgium; Data Management; Electronic Health Records; France; Humans; Interviews as Topic; article; Belgium; clinical study; data quality; data warehouse; drug therapy; electronic health record; human; information science; interview; medical informatics; medical information system; qualitative research; semi structured interview; Belgium; France; information processing","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85206957192"
"Gustafson C.M.; Cimiotti J.P.; Vong G.; Hertzberg V.; Song M.-K.","Gustafson, Carolina M. (57213540677); Cimiotti, Jeannie P. (6602921705); Vong, Gerard (55329093900); Hertzberg, Vicki (7003393596); Song, Mi-Kyung (8925322100)","57213540677; 6602921705; 55329093900; 7003393596; 8925322100","End-of-Life Care of Young Adult Solid Organ Transplant Recipients Compared to Nontransplant Recipients","2026","Progress in Transplantation","","","","","","0","10.1177/15269248261456464","https://www.scopus.com/pages/publications/105040920714?origin=resultslist","Introduction: Little is known about end-of-life care of young adult solid organ transplant-recipients and how it compares to care received by nontransplant-recipient young adults with chronic illness. Research Questions: (1) What aggressive and palliative care methods are used among young adults by solid organ transplant status (ie, recipient vs nonrecipient), and (2) what factors, including transplant recipient status, predict receiving a palliative care consult in the last 90 days of life. Design: Data on young adults (18-39 years) with a history of solid organ transplant (recipient cohort) or cancer, heart disease, and/or HIV (nonrecipient cohort) were obtained from the clinical data warehouse of a large academic medical center/primary transplant center. The nonrecipient cohort (n = 412) was propensity score matched to the recipient cohort (n = 412) on gender, race, and age at death. Aggressive care was the use of cardiopulmonary resuscitation (CPR), dialysis, tube feedings, emergent intubation, extracorporeal membrane oxygenation, and mechanical ventilation. Data on receipt of and reason for palliative care consult were also extracted, and logistic regression was used to identify factors associated with receiving a palliative care consult. Results: A larger percentage of nonrecipients received CPR (36.0% vs 20.0%, P < .01) and emergent intubation (16.8% vs 6.1%, P < .01), whereas a larger percentage of recipients received dialysis (31.7% vs 19.9%, P < .01). A larger percentage of palliative care consults for symptom management were noted in the recipient cohort (49.2% vs 22.2%, P = .04). Conclusions: Similarities in care between the cohorts may indicate transplant recipient status does not impact end-of-life care in young adults. © 2026, NATCO. All rights reserved.","end of life; hospice; palliative care; solid organ transplant; young adults","","Article","Article in press","","Scopus","2-s2.0-105040920714"
"Kishimoto K.; Sugiyama O.; Iwao T.; Yakami M.; Nambu M.; Yutani A.; Fukuyama K.; Saito K.; Kuroda T.","Kishimoto, Kazumasa (57218554027); Sugiyama, Osamu (56423474300); Iwao, Tomohide (57192999323); Yakami, Masahiro (16551268900); Nambu, Masayuki (7006691998); Yutani, Akira (59348822600); Fukuyama, Keita (57194138539); Saito, Kenichi (60045277600); Kuroda, Tomohiro (9233475900)","57218554027; 56423474300; 57192999323; 16551268900; 7006691998; 59348822600; 57194138539; 60045277600; 9233475900","Integrating Scalable Analytical Tools and Data Warehouses on Private Cloud","2025","Studies in Health Technology and Informatics","329","","","1584","1585","0","10.3233/SHTI251113","https://www.scopus.com/pages/publications/105013301238?origin=resultslist","This study addresses the need for efficient and scalable data warehouse solutions by integrating on-premises environments with private cloud-based infrastructures. Kubernetes was employed to dynamically generate secure virtual machines, offering users independent environments for data analysis. Performance testing demonstrated query speeds, with 240,000 records extracted from a 301GB dataset in 12.4 seconds. Security measures, using a VPN connection between hospital networks and Google Cloud, allowed the safe use of Google's APIs. This scalable infrastructure can accommodate diverse analytical needs. © 2025 The Authors.","Clinical Data Warehouse; Data Integration; Real-World Data","Cloud Computing; Computer Security; Data Warehousing; Electronic Health Records; Information Storage and Retrieval; Systems Integration; Data warehouses; Network security; Statistical tests; Virtual reality; Analytical data; Analytical tool; Clinical data warehouse; Cloud-based; Google+; Performance testing; Private clouds; Real-world; Real-world data; User independents; cloud computing; conference paper; data analysis; data integration; data warehouse; female; infrastructure; cloud computing; computer security; electronic health record; information retrieval; organization and management; procedures; system analysis; Data integration","Conference paper","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105013301238"
"Lodi S.; Yan S.; Bovell-Ammon B.; Christine P.J.; Hsu H.E.; Bernson D.; Novo P.; Lee J.D.; Rotrosen J.; Liebschutz J.M.; Walley A.Y.; Larochelle M.R.","Lodi, Sara (35248544600); Yan, Shapei (57216375746); Bovell-Ammon, Benjamin (57214666715); Christine, Paul J. (57211027354); Hsu, Heather E. (14619374500); Bernson, Dana (56034940400); Novo, Patricia (24172633300); Lee, Joshua D. (24464028900); Rotrosen, John (7005847321); Liebschutz, Jane M. (6602568881); Walley, Alexander Y. (8317404900); Larochelle, Marc R. (40361125900)","35248544600; 57216375746; 57214666715; 57211027354; 14619374500; 56034940400; 24172633300; 24464028900; 7005847321; 6602568881; 8317404900; 40361125900","Comparative effectiveness of extended-release naltrexone versus buprenorphine-naloxone on treatment interruption: Comparing findings from a reanalysis of the X:BOT RCT and harmonized target trial emulation using population-based observational data","2025","Addiction","120","8","","1634","1645","1","10.1111/add.70040","https://www.scopus.com/pages/publications/105000825234?origin=resultslist","Background and aims: It is unclear if findings from randomized controlled trials (RCT) of medications for opioid use disorder apply to real-world settings. We estimated the effectiveness of buprenorphine-naloxone (BUP-NX) versus extended-release naltrexone (XR-NTX) on treatment interruption in a RCT and an observational study based on real-world data. Design: Target trial emulation to harmonize the protocol and statistical analyses of X:BOT (target trial) and the observational study (observational emulation). Baseline was randomization in the target trial and medically managed opioid withdrawal (MMOW) discharge in the observational emulation. Settings: X:BOT trial and Massachusetts Public Health Data Warehouse observational data (United States). Participants: The target trial included all X:BOT participants. The observational emulation trial included MMOW discharges from January 2014 to May 2016. Measurements: Treatment strategies were BUP-NX versus XR-NTX initiation within 28 days of baseline. The outcome was treatment interruption (earliest of treatment discontinuation, incarceration, MMOW readmission, death). We estimated the 24-week risk and risk difference. Findings: In the target trial, 94% (269/287) and 66% (187/283) of participants randomized to BUP-NX or XR-NTX initiated their assigned treatment within 28 days, respectively. In the observational emulation, BUP-NX and XR-NTX were initiated within 28 days in 9% (5209/59 076) and 3% (1813/59 076) of MMOW discharges, respectively. The adjusted 24-week treatment interruption risks (95% confidence interval) for BUP-NX and XR-NTX were 68% (60%,77%) and 72% (60%,83%) in the target trial [risk difference, −4 percentage points (pp; −17 pp,11 pp)] and 82% (81%,83%) and 93% (92%,95%) in the observational emulation [risk difference,-11 pp (−13 pp,-10 pp)]. Conclusions: Buprenorphine-naloxone might be superior to extended-release naltrexone in real-world settings where the majority of people struggle to remain on medications for opioid use disorder. Buprenorphine-naloxone initiators had a lower risk of treatment interruption than extended-release naltrexone initiators in an observational emulation, but similar risks in a randomized controlled trial, although confidence intervals were wide. Trial participation, study size and residual confounding may explain these differences. © 2025 Society for the Study of Addiction.","buprenorphine; extended-related naltrexone; medically managed opioid withdrawal; opioid use disorder; target trial emulation; trial benchmarking","Adult; Buprenorphine, Naloxone Drug Combination; Delayed-Action Preparations; Female; Humans; Male; Middle Aged; Naltrexone; Narcotic Antagonists; Opiate Substitution Treatment; Opioid-Related Disorders; Randomized Controlled Trials as Topic; Substance Withdrawal Syndrome; Treatment Interruption; Treatment Outcome; buprenorphine plus naloxone; naltrexone; narcotic antagonist; adult; comparative study; controlled study; delayed release formulation; drug therapy; female; human; male; middle aged; opiate substitution treatment; opioid-related disorder; procedures; randomized controlled trial; randomized controlled trial (topic); treatment interruption; treatment outcome; withdrawal syndrome","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-105000825234"
"Pallier K.; Prot O.; Naldi S.; Silva F.; Denis T.; Giry O.; Leobon S.; Deluche E.; Tubiana-Mathieu N.","Pallier, Karine (26656123500); Prot, Olivier (8942161700); Naldi, Simone (56152224600); Silva, Francisco (58292373400); Denis, Thierry (58292659800); Giry, Olivier (58292659900); Leobon, Sophie (8974399900); Deluche, Elise (56441728800); Tubiana-Mathieu, Nicole (57192275695)","26656123500; 8942161700; 56152224600; 58292373400; 58292659800; 58292659900; 8974399900; 56441728800; 57192275695","Patient Identification and Tumor Identification Management: Quality Program in a Cancer Multicentric Clinical Data Warehouse","2023","Cancer Informatics","22","","","","","0","10.1177/11769351231172609","https://www.scopus.com/pages/publications/85160416065?origin=resultslist","Background: The Regional Basis of Solid Tumor (RBST), a clinical data warehouse, centralizes information related to cancer patient care in 5 health establishments in 2 French departments. Purpose: To develop algorithms matching heterogeneous data to “real” patients and “real” tumors with respect to patient identification (PI) and tumor identification (TI). Methods: A graph database programed in java Neo4j was used to build the RBST with data from ~20 000 patients. The PI algorithm using the Levenshtein distance was based on the regulatory criteria identifying a patient. A TI algorithm was built on 6 characteristics: tumor location and laterality, date of diagnosis, histology, primary and metastatic status. Given the heterogeneous nature and semantics of the collected data, the creation of repositories (organ, synonym, and histology repositories) was required. The TI algorithm used the Dice coefficient to match tumors. Results: Patients matched if there was complete agreement of the given name, surname, sex, and date/month/year of birth. These parameters were assigned weights of 28%, 28%, 21%, and 23% (with 18% for year, 2.5% for month, and 2.5% for day), respectively. The algorithm had a sensitivity of 99.69% (95% confidence interval [CI] [98.89%, 99.96%]) and a specificity of 100% (95% CI [99.72%, 100%]). The TI algorithm used repositories, weights were assigned to the diagnosis date and associated organ (37.5% and 37.5%, respectively), laterality (16%) histology (5%), and metastatic status (4%). This algorithm had a sensitivity of 71% (95% CI [62.68%, 78.25%]) and a specificity of 100% (95% CI [94.31%, 100%]). Conclusion: The RBST encompasses 2 quality controls: PI and TI. It facilitates the implementation of transversal structuring and assessments of the performance of the provided care. © The Author(s) 2023.","Clinical data warehouse; patient identification; quality program; tumor identification","algorithm; Article; clinical data repository; data base; data warehouse; diagnosis; Dice coefficient; gender; histopathology; human; information processing; Levenshtein distance; management; metastasis; patient; patient identification; performance; primary tumor; quality control; semantics; sensitivity and specificity; software; statistical analysis; tumor identification management; tumor localization","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85160416065"
"Allred C.M.; Dahl J.P.; Parikh S.; Wang X.; Bonilla-Velez J.","Allred, Caleb M. (58327509500); Dahl, John P. (56714959300); Parikh, Sanjay (55431707200); Wang, Xing (57221672779); Bonilla-Velez, Juliana (35848098500)","58327509500; 56714959300; 55431707200; 57221672779; 35848098500","Effect of Race, Ethnicity, and Language on Adenotonsillectomy Outcomes in Pediatric Otolaryngology","2025","Otolaryngology - Head and Neck Surgery (United States)","173","1","","237","242","1","10.1002/ohn.1230","https://www.scopus.com/pages/publications/105000675223?origin=resultslist","Objective: Disparities have been described across racial and socioeconomic groups in adenotonsillectomy access and surgical outcomes, but little is known about the impact of language. We studied the effect of race, ethnicity, and language on the frequency of postoperative rates of visits to the emergency department, hospital admissions, and return to the operating room. We hypothesized that non-white, Hispanic, and patients speaking a non-English language would have higher rates of emergency department visits, readmissions, and return to the operating room. Study Design: Retrospective cohort analysis. Setting: Tertiary care academic center. Methods: Demographic and encounter data were abstracted from the hospital's data warehouse for patients who underwent adenotonsillectomy over 12 years (May 2011-June 2023). Continuous variables were compared using the Kruskal-Wallis test or Mann-Whitney U test as indicated. Categorical variables were compared using Fisher's exact test. Results: Our study included 7945 patients. Non-white patients had higher 30-day emergency department visit rates than white patients (8.6% vs 6.8%; P =.003) but comparable 30-day hospital admissions and 30-day return to the operating room rates. Hispanic and other ethnic groups had higher rates of postoperative emergency department visits (8.0%, 8.6%) compared to non-Hispanic white patients (6.8%; P =.026). Patients speaking Spanish or a different non-English language had higher 30-day emergency department visits (8.7%, 10.6%) than English-speaking patients (7.3%; P =.038). Rates of hospital admission and return to the operating room were similar across race and ethnic groups. Conclusion: Higher rates of postoperative emergency department visits were present for our patient population across racial, ethnic, and linguistic cohorts. © 2025 American Academy of Otolaryngology–Head and Neck Surgery Foundation.","adenotonsillectomy; disparity; patient language; pediatric otolaryngology; tonsillectomy","Adenoidectomy; Adolescent; Child; Child, Preschool; Emergency Service, Hospital; Ethnicity; Female; Healthcare Disparities; Humans; Language; Male; Patient Readmission; Racial Groups; Retrospective Studies; Tonsillectomy; Treatment Outcome; adenotonsillectomy; Article; child; cohort analysis; data analysis; emergency ward; ethnicity; female; hospital admission; hospital readmission; human; intensive care unit; language; major clinical study; male; mortality; otorhinolaryngology; outcome assessment; outpatient department; race; retrospective study; tertiary health care; tonsillectomy; adenoidectomy; adolescent; ancestry group; ethnology; health care disparity; hospital emergency service; preschool child; tonsillectomy; treatment outcome","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-105000675223"
"Riou C.; El Azzouzi M.; Hespel A.; Guillou E.; Coatrieux G.; Cuggia M.","Riou, Christine (36946714900); El Azzouzi, Mohamed (58894252800); Hespel, Anne (6508227309); Guillou, Emeric (59896964100); Coatrieux, Gouenou (6505931513); Cuggia, Marc (6507457425)","36946714900; 58894252800; 6508227309; 59896964100; 6505931513; 6507457425","Ensuring General Data Protection Regulation Compliance and Security in a Clinical Data Warehouse From a University Hospital: Implementation Study","2025","JMIR Medical Informatics","13","","e63754","","","10","10.2196/63754","https://www.scopus.com/pages/publications/105005064873?origin=resultslist","Background: The European Union’s General Data Protection Regulation (GDPR) has profoundly influenced health data management, with significant implications for clinical data warehouses (CDWs). In 2021, France pioneered a national framework for GDPR-compliant CDW implementation, established by its data protection authority (Commission Nationale de l’Informatique et des Libertés). This framework provides detailed guidelines for health care institutions, offering a unique opportunity to assess practical GDPR implementation in health data management. Objective: This study evaluates the real-world applicability of France’s CDW framework through its implementation at a major university hospital. It identifies practical challenges for its implementation by health institutions and proposes adaptations relevant to regulatory authorities in order to facilitate research in secondary use data domains. Methods: A systematic assessment was conducted in May 2023 at the University Hospital of Rennes, which manages data for over 2 million patients through the eHOP CDW system. The evaluation examined 116 criteria across 13 categories using a dual-assessment approach validated by information security and data protection officers. Compliance was rated as met, unmet, or not applicable, with criteria classified as software-related (n=25) or institution-related (n=91). Results: Software-related criteria showed 60% (n=15) compliance, with 28% (n=7) noncompliant or partially compliant and 12% (n=3) not applicable. Institution-related criteria achieved 72% (n=28) compliance for security requirements. Key challenges included managing genetic data, implementing automated archiving, and controlling data exports. The findings revealed effective privacy protection measures but also highlighted areas requiring regulatory adjustments to better support research. Conclusions: This first empirical assessment of a national CDW compliance framework offers valuable insights for health care institutions implementing GDPR requirements. While the framework establishes robust privacy protections, certain provisions may overly constrain research activities. The study identifies opportunities for framework evolution, balancing data protection with research imperatives. © Christine Riou, Mohamed El Azzouzi, Anne Hespel, Emeric Guillou, Gouenou Coatrieux, Marc Cuggia.","applicability; clinical data warehouse; compliance; data hub; experiential analysis; France; French; legislation; operational challenge; personal data; personal data protection; privacy; security; university hospitals","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105005064873"
"Loizillon S.; Bottani S.; Maire A.; Ströer S.; Chougar L.; Dormont D.; Colliot O.; Burgos N.","Loizillon, Sophie (57973457900); Bottani, Simona (57203575122); Maire, Aurélien (57221490732); Ströer, Sebastian (57195601143); Chougar, Lydia (57203411257); Dormont, Didier (7101818932); Colliot, Olivier (55887247600); Burgos, Ninon (55887379000)","57973457900; 57203575122; 57221490732; 57195601143; 57203411257; 7101818932; 55887247600; 55887379000","Automatic quality control of brain 3D FLAIR MRIs for a clinical data warehouse","2025","Medical Image Analysis","103","","103617","","","3","10.1016/j.media.2025.103617","https://www.scopus.com/pages/publications/105004412543?origin=resultslist","Clinical data warehouses, which have arisen over the last decade, bring together the medical data of millions of patients and offer the potential to train and validate machine learning models in real-world scenarios. The quality of MRIs collected in clinical data warehouses differs significantly from that generally observed in research datasets, reflecting the variability inherent to clinical practice. Consequently, the use of clinical data requires the implementation of robust quality control tools. By using a substantial number of pre-existing manually labelled T1-weighted MR images (5,500) alongside a smaller set of newly labelled FLAIR images (926), we present a novel semi-supervised adversarial domain adaptation architecture designed to exploit shared representations between MRI sequences thanks to a shared feature extractor, while taking into account the specificities of the FLAIR thanks to a specific classification head for each sequence. This architecture thus consists of a common invariant feature extractor, a domain classifier and two classification heads specific to the source and target, all designed to effectively deal with potential class distribution shifts between the source and target data classes. The primary objectives of this paper were: (1) to identify images which are not proper 3D FLAIR brain MRIs; (2) to rate the overall image quality. For the first objective, our approach demonstrated excellent results, with a balanced accuracy of 89%, comparable to that of human raters. For the second objective, our approach achieved good performance, although lower than that of human raters. Nevertheless, the automatic approach accurately identified bad quality images (balanced accuracy >79%). In conclusion, our proposed approach overcomes the initial barrier of heterogeneous image quality in clinical data warehouses, thereby facilitating the development of new research using clinical routine 3D FLAIR brain images. © 2025 Elsevier B.V.","Clinical data warehouse; Deep learning; Domain adaptation; FLAIR; MRI; Quality control","Brain; Humans; Image Interpretation, Computer-Assisted; Imaging, Three-Dimensional; Machine Learning; Magnetic Resonance Imaging; Quality Control; Computer control; Damage detection; Model predictive control; Semi-supervised learning; Statistical process control; Automatic quality control; Clinical data warehouse; Clinical practices; Deep learning; Domain adaptation; Feature extractor; FLAIR; Machine learning models; Medical data; Real-world scenario; adult; Article; clinical practice; clinical study; consensus development; controlled study; deep learning; digital imaging and communications in medicine; female; fluid-attenuated inversion recovery imaging; human; image quality; interrater reliability; magnetic field; major clinical study; male; nuclear magnetic resonance imaging; quality control; retrospective study; T1 weighted imaging; brain; computer assisted diagnosis; diagnostic imaging; machine learning; procedures; quality control; three-dimensional imaging; Deep learning","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-105004412543"
"Naouri D.; Pelletier-Fleury N.; Lapidus N.; Yordanov Y.","Naouri, D. (57188697455); Pelletier-Fleury, N. (55988204200); Lapidus, N. (23667904700); Yordanov, Y. (36627801400)","57188697455; 55988204200; 23667904700; 36627801400","The effect of direct admission to acute geriatric units compared to admission after an emergency department visit on length of stay, postacute care transfers and ED return visits","2022","BMC Geriatrics","22","1","555","","","6","10.1186/s12877-022-03241-x","https://www.scopus.com/pages/publications/85133245757?origin=resultslist","Background: Compared with conventional hospitalization, admission to an acute geriatric care unit (AGU) is associated with better outcomes in elderly patients. In 2012, 50% of the hospitalizations of elderly patients were preceded by an emergency department (ED) visit. Hospital occupancy, access blocks and overcrowding experienced by patients during ED visits are associated with increased morbidity. Objective: Our aim was to evaluate the effect of direct admission (DA) to an AGU on both the hospital length of stay and morbidity of elderly patients. Design: This study was a retrospective cohort study conducted using electronic medical records and administrative claims data from the Greater Paris University Hospitals (APHP) health data warehouse involving 19 different AGUs. Participants: We included all patients ≥ 75 years old who were admitted to an AGU for more than 24 h between January 1, 2013, and December 31, 2018. Intervention: Direct admission to the AGU compared to admission after an ED visit. Main measures: The main outcome was hospital length of stay. Two outcomes were used to analyse morbidity: postacute care and rehabilitation ward transfer at the end of the index hospitalization and ED return visit within 30 days after the index hospitalization (for those who survived to hospitalization). We used an inverse probability of treatment weighting (IPTW) approach to balance the differences in patient baseline variables between the two groups. Univariate linear and logistic regression models were built to estimate the effect of DA on hospital length of stay and the likelihood of postacute care transfer and ED return visit. Key results: Among the 6583 patients included in the study, DA was associated with a lower hospital length of stay (estimate = -1.28; 95% CI = -1.76–0.80), and a lower likelihood of postacute care transfer (OR = 0.87; 95% CI = 0.77–0.97). It was not significantly associated with a lower risk of ED return visits (OR = 0.81; 95% CI = 0.60–1.08) in the following month. Conclusion: DA should be prioritized, and reorganization of the geriatric pathway around DA should be encouraged due to the frailty of elderly individuals. © 2022, The Author(s).","Elderly; Emergency department; Emergency medicine; Geriatrics; Health Service Research","Aged; Emergency Service, Hospital; Hospitalization; Humans; Length of Stay; Retrospective Studies; Subacute Care; aged; hospital emergency service; hospitalization; human; length of stay; retrospective study; subacute care","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85133245757"
"Cuggia M.; Guillon-Grammatico L.; Gourraud P.-A.; Chretien J.-M.; Bocquet F.; Guiton V.; Stindel E.","Cuggia, Marc (6507457425); Guillon-Grammatico, Leslie (57189631238); Gourraud, Pierre-Antoine (6506489910); Chretien, Jean-Marie (7103014552); Bocquet, François (56046171000); Guiton, Valentine (59297745500); Stindel, Eric (6701899887)","6507457425; 57189631238; 6506489910; 7103014552; 56046171000; 59297745500; 6701899887","The Ouest Data Hub: An Interregional Health Data Sharing Ecosystem for Research","2024","Studies in Health Technology and Informatics","316","","","1679","1683","6","10.3233/SHTI240746","https://www.scopus.com/pages/publications/85201997876?origin=resultslist","The Ouest Data Hub (ODH) a project lead by GCS HUGO which is a cooperation group of University Hospitals in the French Grand Ouest region represents a groundbreaking initiative in this territory, advancing health data sharing and reuse to support research driven by real-world health data. Central to its structure are the Clinical Data Warehouses (CDWs) and Clinical Data Centers (CDCs), essential for analytics and as the linchpin of the ODH's status as an interregional Learning Health System. Aimed at fostering innovation and research, the ODH's collaborative and multi-institutional model effectively utilizes both local and shared resources. Yet, the path is not without challenges, especially in data quality and interoperability, where ongoing harmonization and standard adherence are critical. In 2023, this facilitated access to extensive health data from over 9.3 million patient records, demonstrating the ODH's capacity for both monocentric and multicentric research across various clinical fields, in close collaboration with physicians. The integration of healthcare professionals is crucial, ensuring data's clinical relevance and guiding accurate interpretations. Future expansions of the ODH to new hospitals and data types promise to enhance its model further, already inspiring similar frameworks across France. This scalable model for health data ecosystems showcases the ODH's potential as a foundation for national and supranational data sharing efforts. © 2024 The Authors.","Clinical Datawarehouse; Data Sharing; Health data re-use","Biomedical Research; Data Warehousing; Electronic Health Records; France; Humans; Information Dissemination; Data accuracy; Data consistency; Data quality; Clinical data; Clinical data warehouse; Clinical datawarehouse; Data hub; Data reuse; Data Sharing; Health data; Health data re-use; Real-world; Research-driven; clinical significance; conference paper; data quality; data warehouse; drug therapy; ecosystem; global health; health care personnel; health data; human; learning health system; medical record; physician; data warehouse; electronic health record; France; information dissemination; medical research; Electronic health record","Conference paper","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85201997876"
